x,y,z,sx,sy,txy
14.0,1.0,0.0,-5.999982955543518,0.001961775276184082,0.30275702222824097
14.5,1.0,0.0,-3.0608445863571165,0.004641613220214844,0.22011158088684082
0.5,0.5,0.0,-1.1920928955078126e-11,2.980232238769531e-14,2.3683688041168276
1.0,0.5,0.0,-1.1615455150604248e-11,1.4901161193847657e-13,1.7562292245377973
1.5,0.5,0.0,-1.1593103408813477e-11,3.5762786865234376e-13,1.8143693086009025
2.0,0.5,0.0,-1.1742115020751953e-11,9.5367431640625e-13,1.8217044291113018
2.5,0.5,0.0,-1.1801719665527343e-11,7.152557373046875e-13,1.822562409650147
3.0,0.5,0.0,-1.1920928955078126e-11,-4.76837158203125e-13,1.8226641645031572
3.5,0.5,0.0,-1.2516975402832032e-11,1.430511474609375e-12,1.8226762773575782
4.0,0.5,0.0,-1.2755393981933594e-11,0.0,1.8226777200291158
4.5,0.5,0.0,-1.2159347534179687e-11,3.814697265625e-12,1.8226778918647766
5.0,0.5,0.0,-1.1920928955078126e-11,3.814697265625e-12,1.8226779123454093
5.5,0.5,0.0,-1.4066696166992187e-11,0.0,1.8226779147834777
6.0,0.5,0.0,-1.430511474609375e-11,1.9073486328125e-12,1.8226779150791168
6.5,0.5,0.0,-1.239776611328125e-11,5.7220458984375e-12,1.8226779151163102
7.0,0.5,0.0,-1.9073486328125e-11,7.62939453125e-12,1.8226779151263237
7.5,0.5,0.0,-1.33514404296875e-11,-3.814697265625e-12,1.82267791513443
8.0,0.5,0.0,-1.621246337890625e-11,-1.1444091796875e-11,1.8226779151477814
8.5,0.5,0.0,-2.1457672119140626e-11,0.0,1.8226779151453971
9.0,0.5,0.0,-1.430511474609375e-11,9.5367431640625e-12,1.8226779151816368
9.5,0.5,0.0,-8.58306884765625e-12,5.7220458984375e-12,1.822677915192604
10.0,0.5,0.0,-3.814697265625e-12,1.9073486328125e-11,1.8226779152269363
10.5,0.5,0.0,-3.814697265625e-12,5.7220458984375e-12,1.8226779150438308
11.0,0.5,0.0,-2.86102294921875e-12,1.52587890625e-11,1.8226779136686324
11.5,0.5,0.0,1.9073486328125e-12,3.814697265625e-12,1.822677902032852
12.0,0.5,0.0,9.5367431640625e-13,1.1444091796875e-11,1.8226778041229248
12.5,0.5,0.0,-5.7220458984375e-12,-3.814697265625e-12,1.822676979347229
13.0,0.5,0.0,0.0,0.0,1.8226699458436966
13.5,0.5,0.0,9.5367431640625e-13,3.4332275390625e-11,1.8226121421432495
14.0,0.5,0.0,1.430511474609375e-11,1.52587890625e-11,1.822843495903015
14.5,0.5,0.0,4.76837158203125e-12,0.0,1.9040199421730042
0.0,0.25,0.0,43.72895118869551,13.11868535660865,-0.3578541928763166
0.0,0.75,0.0,-43.7289511887182,-13.118685356615462,-0.3578541928740777
0.25,0.0,0.0,87.16070194182866,-1.0635715748129189,2.0127341159275174
0.75,0.0,0.0,85.39868311174065,-0.20098541918134688,0.33945484502127765
1.25,0.0,0.0,82.48085791198093,-0.027894809809684753,0.19661399552714826
1.75,0.0,0.0,79.49758739797855,-0.0033989021129608153,0.18167916135394574
2.25,0.0,0.0,76.49974999969565,-0.0004058312282562256,0.1799371015856862
2.75,0.0,0.0,73.50000860829878,-4.8346129417419436e-5,0.17973005233991146
3.25,0.0,0.0,70.5000378611083,-5.75843620300293e-6,0.1797053941295147
3.75,0.0,0.0,67.50003976904392,-6.858768463134766e-7,0.17970245710861682
4.25,0.0,0.0,64.5000384198451,-8.1695556640625e-8,0.17970210728383065
4.75,0.0,0.0,61.500036682700156,-9.725570678710938e-9,0.1797020656173229
5.25,0.0,0.0,58.50003489931965,-1.15966796875e-9,0.1797020606546402
5.75,0.0,0.0,55.500033110432625,-1.33514404296875e-10,0.17970206006383896
6.25,0.0,0.0,52.50003132088566,-7.62939453125e-12,0.1797020599937439
6.75,0.0,0.0,49.500029531253816,3.814697265625e-12,0.179702059984684
7.25,0.0,0.0,46.50002774159622,0.0,0.17970205998516084
7.75,0.0,0.0,43.50002595192909,7.62939453125e-12,0.17970205998563765
8.25,0.0,0.0,40.50002416225052,7.62939453125e-12,0.17970205998659133
8.75,0.0,0.0,37.50002237257004,7.62939453125e-12,0.1797020599899292
9.25,0.0,0.0,34.500020582832335,7.62939453125e-12,0.17970205999088287
9.75,0.0,0.0,31.500018793079377,7.62939453125e-12,0.17970206000232697
10.25,0.0,0.0,28.50001700328064,8.392333984375e-11,0.17970206004047393
10.75,0.0,0.0,25.500015213878633,6.7138671875e-10,0.179702060382843
11.25,0.0,0.0,22.500013427612306,5.5694580078125e-9,0.17970206320667267
11.75,0.0,0.0,19.50001166758728,4.65545654296875e-8,0.1797020869369507
12.25,0.0,0.0,16.50001012840271,3.906402587890625e-7,0.17970228620815276
12.75,0.0,0.0,13.500010427845002,3.2737274169921873e-6,0.17970396167182923
13.25,0.0,0.0,10.500025120754241,2.702314758300781e-5,0.17971824911117554
13.75,0.0,0.0,7.500114953922272,0.00020149073791503907,0.17985134781455994
14.25,0.0,0.0,4.5008199920120235,0.0010668631896972656,0.18138916463279725
14.75,0.0,0.0,1.7435169051132202,0.06680318493652344,0.17593419111251832
15.0,0.25,0.0,-0.18418838141822816,-0.8213313739433289,1.0966704493484498
15.0,0.75,0.0,0.1841883814086914,0.8213313739433289,1.096670449356079
0.25,1.0,0.0,-87.16070194185176,1.0635715748131498,2.0127341159283554
0.75,1.0,0.0,-85.39868311176329,0.2009854191814661,0.3394548450211696
1.25,1.0,0.0,-82.48085791200441,0.027894809809923173,0.19661399552699924
1.75,1.0,0.0,-79.49758739800178,0.0033989021129608153,0.1816791613537669
2.25,1.0,0.0,-76.49974999971914,0.00040583123111724855,0.1799371015856266
2.75,1.0,0.0,-73.50000860832286,4.8346131324768064e-5,0.17973005233973266
3.25,1.0,0.0,-70.50003786113024,5.758441925048828e-6,0.17970539412879943
3.75,1.0,0.0,-67.50003976906633,6.858787536621093e-7,0.17970245710861682
4.25,1.0,0.0,-64.50003841987514,8.1695556640625e-8,0.17970210728287697
4.75,1.0,0.0,-61.50003668272114,9.737014770507813e-9,0.17970206561660768
5.25,1.0,0.0,-58.50003489934349,1.15966796875e-9,0.17970206065559388
5.75,1.0,0.0,-55.50003311045933,1.41143798828125e-10,0.17970206006360054
6.25,1.0,0.0,-52.50003132091045,2.6702880859375e-11,0.17970205999326705
6.75,1.0,0.0,-49.50002953128242,7.62939453125e-12,0.17970205998754502
7.25,1.0,0.0,-46.50002774162865,7.62939453125e-12,0.17970205998325348
7.75,1.0,0.0,-43.50002595196342,0.0,0.17970205998516084
8.25,1.0,0.0,-40.50002416228294,1.52587890625e-11,0.17970205998563765
8.75,1.0,0.0,-37.50002237259865,0.0,0.1797020599884987
9.25,1.0,0.0,-34.50002058286667,0.0,0.17970205998897554
9.75,1.0,0.0,-31.500018793098448,-7.62939453125e-12,0.17970205999851227
10.25,1.0,0.0,-28.50001700328827,-6.866455078125e-11,0.17970206004047393
10.75,1.0,0.0,-25.500015213890077,-6.40869140625e-10,0.17970206037807465
11.25,1.0,0.0,-22.500013427577972,-5.523681640625e-9,0.17970206320381166
11.75,1.0,0.0,-19.500011667591096,-4.65240478515625e-8,0.17970208693790435
12.25,1.0,0.0,-16.500010128372192,-3.906097412109375e-7,0.17970228620529174
12.75,1.0,0.0,-13.500010427852631,-3.273681640625e-6,0.17970396166610716
13.25,1.0,0.0,-10.500025120758057,-2.702311706542969e-5,0.17971824911117554
13.75,1.0,0.0,-7.500114953903198,-0.00020149069213867187,0.17985134781646728
14.25,1.0,0.0,-4.500819992004394,-0.0010668631744384766,0.18138916464042665
14.75,1.0,0.0,-1.7435169050750732,-0.06680318490600586,0.17593419111061095
0.25,0.5,0.0,-1.15223228931427e-11,-1.5534460544586182e-12,1.2774790120585953
0.5,0.75,0.0,-45.33621785004166,-0.7212701075963452,1.4032957685629743
0.25,0.75,0.0,-43.39454538308568,-0.2937237976229899,0.5712971010097563
0.75,0.5,0.0,-1.1816620826721191e-11,8.940696716308594e-14,1.735675730336113
1.0,0.75,0.0,-42.01663615063568,-0.014203891578763724,1.1390726270141602
0.75,0.75,0.0,-42.71998078412635,-0.004385138121455908,0.9219202296378687
1.25,0.5,0.0,-1.1593103408813477e-11,0.0,1.6816912757911533
1.5,0.75,0.0,-40.50016077491671,-0.0011607212072908878,1.110190425959766
1.25,0.75,0.0,-41.25040325951077,0.0006596517472863198,0.9629747038969994
1.75,0.5,0.0,-1.1563301086425781e-11,4.76837158203125e-13,1.6717987129600496
2.0,0.75,0.0,-39.0000360379802,-0.00013981493812799454,1.107053130816698
1.75,0.75,0.0,-39.7501457076152,9.97871425151825e-5,0.9676849245718717
2.25,0.5,0.0,-1.2040138244628906e-11,4.76837158203125e-13,1.670561889986977
2.5,0.75,0.0,-37.50002416520256,-1.679065728187561e-5,1.1066858929629326
2.25,0.75,0.0,-38.250038353216645,1.2145240426063537e-5,0.9682419712551236
2.75,0.5,0.0,-1.1444091796875e-11,0.0,1.6704138957422674
