x,y,z,sx,sy,txy
0.0,0.0,0.0,90.65292720055828,1.2375489894545488,0.37200151449510455
0.0,1.0,0.0,-90.65292720058208,-1.23754898945456,0.372001514495112
15.0,0.0,0.0,0.08168497189331055,0.2397952469177246,0.23699212897491456
15.0,1.0,0.0,-0.24771995054626464,1.4765759777526855,0.7229673979949951
0.0,0.5,0.0,-1.1833850294351578e-11,-1.3038516044616699e-14,3.2659846498362533
0.5,0.0,0.0,87.49189737701273,0.5159001485633552,0.36081538206968083
1.0,0.0,0.0,84.03669670328904,0.05737469970214367,0.2827691067891419
1.5,0.0,0.0,81.00397374024952,0.006711638974189758,0.30135092623904347
2.0,0.0,0.0,78.00051143727636,0.0007973954033851623,0.3037355159024596
2.5,0.0,0.0,75.00010323744596,9.49538540840149e-5,0.30401812855172156
3.0,0.0,0.0,72.00005296472037,1.130968952178955e-5,0.30405172500681876
3.5,0.0,0.0,69.00004527290345,1.3470840454101562e-6,0.304055725413084
4.0,0.0,0.0,66.00004265278817,1.6045188903808594e-7,0.30405620188188553
4.5,0.0,0.0,63.00004063676023,1.9113540649414063e-8,0.30405625863218305
5.0,0.0,0.0,60.000038692667005,2.28118896484375e-9,0.3040562653980255
5.5,0.0,0.0,57.00003675713062,2.765655517578125e-10,0.3040562661972046
6.0,0.0,0.0,54.00003482261705,3.24249267578125e-11,0.3040562662987709
6.5,0.0,0.0,51.00003288821792,1.1444091796875e-11,0.3040562663059235
7.0,0.0,0.0,48.00003095382881,-1.9073486328125e-12,0.3040562663059235
7.5,0.0,0.0,45.00002901943779,-3.814697265625e-12,0.30405626630878446
8.0,0.0,0.0,42.000027085020065,1.1444091796875e-11,0.30405626632213595
8.5,0.0,0.0,39.00002515054512,1.52587890625e-11,0.3040562663230896
9.0,0.0,0.0,36.00002321606064,3.4332275390625e-11,0.30405626633167265
9.5,0.0,0.0,33.00002128144169,2.6702880859375e-11,0.30405626636123656
10.0,0.0,0.0,30.000019346466065,-7.62939453125e-11,0.3040562663154602
10.5,0.0,0.0,27.000017414482116,-6.866455078125e-11,0.30405626426506044
11.0,0.0,0.0,24.00001552005005,7.4462890625e-9,0.30405625826454163
11.5,0.0,0.0,21.000013603897095,6.6558837890625e-8,0.30405639017486574
12.0,0.0,0.0,18.000008794059752,-4.50286865234375e-8,0.3040575742588043
12.5,0.0,0.0,14.999991145637512,-3.699188232421875e-6,0.30405408436012266
13.0,0.0,0.0,12.000128587457656,2.5978240966796877e-6,0.3039517516040802
13.5,0.0,0.0,9.002075555763245,0.0005750314788818359,0.3037901093788147
14.0,0.0,0.0,6.003758204177856,0.007802929542541504,0.3122493411254883
14.5,0.0,0.0,2.9588467376880647,0.0863446195526123,0.3301761002922058
15.0,0.5,0.0,-0.04599687641143799,0.29144035269927976,1.5755257250061034
0.5,1.0,0.0,-87.49189737703648,-0.5159001485633999,0.3608153820697777
1.0,1.0,0.0,-84.03669670331257,-0.05737469970226288,0.282769106789127
